,topDistance,bottomDistance,birdPosition,jump
1455,204.79562983618573,299.15088166341747,280.5,0
1456,194.11401288933266,283.6022743209229,296.5,0
1457,184.34003905825776,268.20001864280323,312.5,0
1458,175.6253113876243,252.97084812286178,328.5,0
1459,168.1346186839581,237.9479985206852,344.5,0
1460,162.03780423098803,223.1731390647181,360.5,0
1461,157.49682536483076,208.69894585263242,376.5,0
1462,152.0526224699857,210.76052761368766,368.0,1
1463,147.2175261305528,215.8077848456816,356.0,0
1464,143.47212272772714,221.88792215891337,343.5,0
1465,140.35401668637775,226.60372900726944,333.5,0
1466,136.56134152826706,227.26416347501865,329.0,0
1467,130.26895255585654,219.4766502386985,335.0,0
1468,122.6906679417795,203.60009823180343,351.0,0
1469,117.03845521878696,187.8776197422141,367.0,0
1470,113.6001760562016,172.35138525698017,383.0,0
1471,112.57886124845996,157.07959765672945,399.0,0
1472,114.03946685248927,142.1442928857856,415.0,0
1473,105.90207741116319,144.7938189288479,406.5,1
1474,96.92393925135318,150.81196902102963,394.5,0
1475,88.84255736976509,158.09174551506476,382.0,0
1476,82.38931969618392,163.97560794215707,372.0,0
1477,77.07950440940834,165.50302112046174,367.5,0
1478,72.62403183519902,157.87415874676893,373.5,0
1479,71.68856254661549,141.3833441392585,389.5,0
1480,74.60730527233912,124.96499509862753,405.5,0
1481,80.96449839281412,108.65196730846617,421.5,0
1482,71.449282711585,113.6001760562016,413.0,1
1483,59.81638571495272,122.38463955905577,401.0,0
1484,48.623553963074315,132.34141453075074,388.5,0
1485,39.73977856002723,140.4608486376186,378.5,0
1486,33.52610922848042,143.61058456812992,374.0,0
1487,31.38470965295043,136.69308687713507,380.0,0
1488,38.8329756778952,120.03332870498926,396.0,0
1489,50.92150822589606,103.40696301506973,412.0,0
1490,65.11528238439882,86.83317338436964,428.0,0
1491,55.939699677420506,94.75890459476618,419.5,1
1492,43.54595273960601,106.51877768731671,407.5,0
1493,31.144823004794873,119.03780911962384,395.0,0
1494,22.47220505424423,129.24782396620841,385.0,0
1495,21.005951537600005,134.13146536141323,380.5,0
1496,28.81405906844782,128.76431959203606,386.5,0
1497,44.84696199298231,113.84748569907023,402.5,0
1498,61.271934847856734,99.52009847262009,418.5,0
1499,56.61271941887264,109.11003620199197,410.0,1
1500,50.99019513592785,122.06555615733703,398.0,0
1501,48.075461516245475,135.5036899866568,385.5,0
1502,49.35838327984416,146.58188837642936,375.5,0
1503,53.46026561849464,152.50573759698355,371.0,0
1504,59.43904440685432,148.77163708180402,377.0,0
1505,69.35416353759881,136.41847382227965,393.0,0
1506,81.54140052758476,125.0959631642844,409.0,0
1507,81.61648117874232,134.94906446507883,400.5,1
1508,337.1145947597048,392.0411330460109,388.5,0
1509,334.619186538967,394.6770831958704,376.0,0
1510,332.0316249997882,396.2890359321085,366.0,0
1511,328.32796103895873,394.90410228307326,361.5,0
1512,321.9693308375815,387.31673085473597,367.5,0
1513,313.4984050996113,373.9401690110331,383.5,0
1514,305.7126919184089,360.8465740449811,399.5,0
1515,298.6657831088121,348.06788131052826,415.5,0
1516,292.4110976006212,335.64006018352455,431.5,0
1517,288.00173610587836,335.6262802582658,423.0,1
1518,284.2885857715712,337.81651824622196,411.0,0
1519,281.21388657034703,340.7803544807124,398.5,0
1520,278.2197872186664,342.7189081448527,388.5,0
1521,274.33191575170395,341.55233859541937,384.0,0
1522,268.1287004406652,333.90567530367014,390.0,0
1523,260.2498799231231,320.2030605725061,406.0,0
1524,253.23704310388715,306.80449801135575,422.0,0
1525,247.1639132235934,293.7515957403466,438.0,0
1526,242.63192287908035,294.31318353074164,429.5,1
1527,238.82891365996707,297.30329631539576,417.5,0
1528,235.77107541002565,301.14448359549937,405.0,0
1529,232.8797973204202,303.8634561772771,395.0,0
1530,229.0769521361763,303.19342011329996,390.5,0
1531,222.79867593861505,295.44754187503406,396.5,0
1532,214.7888498037084,281.04136706186154,412.5,0
1533,207.8250466137323,266.91056554583975,428.5,0
1534,202.01546970467385,253.10126431924436,444.5,0
1535,197.46202166492674,239.66904264005396,460.5,0
1536,194.25305660400815,226.68094317785074,476.5,0
1537,192.45583909042614,214.2177630356549,492.5,0
1538,185.72291188757515,214.2265156324025,484.0,1
1539,178.7568180517879,216.6887168266959,472.0,0
1540,172.45361695250116,220.20501810812578,459.5,0
1541,167.01871152658316,222.8121406027957,449.5,0
1542,162.01234520862909,222.14409737825582,445.0,0
1543,157.05094714773293,214.39449619801343,451.0,0
1544,153.3101431738944,200.0099997500125,467.0,0
1545,151.34397906755325,186.02419197512995,483.0,0
1546,151.22169156572744,172.5340546095176,499.0,0
1547,152.9477034806342,159.66527487215245,515.0,0
1548,144.79036570158942,160.04452505474845,506.5,1
1549,135.59221954079814,163.20309433341023,494.5,0
1550,126.92123541787639,167.6573887426379,482.0,0
1551,119.64113005150027,171.21331723905124,472.0,0
1552,113.86066045829877,171.2140473208901,467.5,0
1553,110.23270839455955,163.40517127679894,473.5,0
1554,110.5,148.18991193735152,489.5,0
1555,113.27510759209191,133.34635353094586,505.5,0
1556,118.38179758729802,119.01365467878045,521.5,0
1557,109.20164833920778,120.93386622447825,513.0,1
1558,98.18350166906862,126.25371281669304,501.0,0
1559,87.47142390518174,133.0460446612375,488.5,0
1560,78.58912138457842,138.65875378063947,478.5,0
